user_session_id,user_id,product_id,click_through_rate,add_to_cart_flag,cart_abandonment_score,purchase_probability,device_type
S00001,U17270,P128,0.5268,0,0.8492,0.3576,desktop
S00002,U17603,P326,0.6301,0,0.9792,0.3609,desktop
S00003,U10860,P565,0.5333,0,0.0995,0.6991,desktop
S00004,U15390,P331,0.2439,0,,0.2665,mobile
S00005,U15226,P403,0.1769,0,0.1435,0.4608,mobile
S00006,U15191,P449,0.9066,1,0.1545,0.8757,desktop
S00007,U13772,P434,0.8914,1,0.4412,0.7433,desktop
S00008,U13092,P216,,1,,0.9148,desktop
S00009,U15734,P306,0.01,0,0.4281,,tablet
S00010,U16265,P499,0.5524,0,0.2653,,mobile
S00011,U10466,P284,0.3213,0,0.4695,0.4176,mobile
S00012,U15334,P580,0.5443,1,,0.3488,mobile
S00013,U14426,P237,0.3495,0,0.8213,0.2677,mobile
S00014,U15578,P502,0.6002,0,0.5528,,mobile
S00015,U16231,P584,0.7962,1,0.9224,0.481,mobile
S00016,U13444,P597,0.2437,1,0.2596,0.4635,mobile
S00017,U13171,P422,,0,0.3498,0.395,mobile
S00018,U12919,P263,0.1645,0,0.1984,0.4299,mobile
S00019,U17831,P487,,0,,0.4333,mobile
S00020,U10130,P174,0.01,0,0.8514,0.0738,tablet
S00021,U11685,P332,0.01,0,,0.3526,tablet
S00022,U17476,P516,0.8249,1,0.8402,0.5329,desktop
S00023,U10769,P383,0.7035,1,0.463,0.6402,desktop
S00024,U12391,P579,,0,0.6029,0.5679,desktop
S00025,U15611,P476,0.8324,1,0.2873,0.7757,desktop
S00026,U17581,P354,0.7565,1,0.1946,0.7865,desktop
S00027,U16949,P563,0.635,1,0.1278,,mobile
S00028,U12433,P108,0.99,1,0.2416,0.9005,desktop
S00029,U15311,P302,0.2819,0,0.9171,0.2018,mobile
S00030,U15051,P489,,0,0.932,0.1137,mobile
S00031,U16420,P478,0.7433,0,0.2035,0.7606,desktop
S00032,U11184,P404,0.0429,0,0.62,0.1925,tablet
S00033,U14555,P190,0.8122,1,0.4453,0.696,mobile
S00034,U13385,P480,0.7897,1,,0.6162,desktop
S00035,U14117,P431,0.3451,0,0.6903,0.3216,mobile
S00036,U16396,P249,0.01,0,0.0447,0.4074,tablet
S00037,U14843,P459,0.9324,1,0.1062,0.9257,desktop
S00038,U12904,P275,0.3516,0,0.5493,0.3862,mobile
S00039,U17728,P584,0.9802,1,0.2624,0.8859,desktop
S00040,U10474,P504,0.6928,1,0.7404,0.5144,mobile
S00041,U11082,P132,0.215,0,0.1153,0.5092,mobile
S00042,U12558,P564,0.9837,1,0.7398,0.6676,desktop
S00043,U17849,P283,0.9346,1,0.3303,0.816,desktop
S00044,U12047,P256,0.3072,0,0.2386,,mobile
S00045,U17643,P152,0.1886,0,0.7304,0.2143,mobile
S00046,U12747,P395,0.5918,0,0.3177,0.6243,desktop
S00047,U10975,P301,0.7001,1,0.6967,0.5231,desktop
S00048,U11806,P373,0.4155,0,0.5579,0.4336,mobile
S00049,U10189,P274,0.6232,0,0.6852,0.4982,mobile
S00050,U17101,P343,,0,0.1026,0.7466,mobile
S00051,U12734,P368,0.7418,1,,0.606,desktop
S00052,U13005,P510,0.01,0,0.828,0.0839,tablet
S00053,U14658,P545,,0,0.4809,0.3595,mobile
S00054,U11899,P173,0.7487,1,0.422,0.6695,desktop
S00055,U17734,P195,0.6852,1,0.0298,0.8022,desktop
S00056,U11267,P460,0.99,1,0.9548,0.5785,desktop
S00057,U16975,P272,0.01,0,0.979,0.0044,tablet
S00058,U11528,P486,0.01,0,0.74,,mobile
