Age,Income,Education_Level,Work_Experience,Purchase_Decision
56.0,45648.85,Bachelor,,0
46.0,49427.47,Bachelor,0.0,0
32.0,65413.66,Master,5.0,0
60.0,79816.62,Master,18.0,1
25.0,39688.36,Bachelor,0.0,0
38.0,59464.63,Bachelor,9.0,1
56.0,87903.79,Master,29.0,1
36.0,45126.08,High School,11.0,0
40.0,44651.45,High School,9.0,0
28.0,,Bachelor,1.0,0
28.0,61225.6,Master,7.0,1
41.0,66975.03,Master,13.0,1
53.0,88251.29,Bachelor,28.0,1
,42076.3,High School,14.0,0
41.0,71934.01,Bachelor,15.0,0
20.0,28671.09,High School,2.0,0
39.0,,High School,11.0,0
19.0,55681.23,,1.0,0
41.0,32880.9,High School,3.0,0
61.0,98546.11,Master,29.0,1
47.0,45829.34,Bachelor,2.0,0
55.0,60547.94,Bachelor,8.0,0
19.0,28374.29,High School,1.0,0
38.0,64434.18,Bachelor,18.0,1
50.0,27830.04,High School,3.0,0
29.0,74835.87,PhD,5.0,1
39.0,86010.87,Master,18.0,1
61.0,76514.53,Bachelor,32.0,1
42.0,44257.7,High School,15.0,0
44.0,76909.16,Master,10.0,1
59.0,61896.03,Bachelor,21.0,1
45.0,43603.5,High School,3.0,0
33.0,39601.77,Bachelor,1.0,0
32.0,77257.47,Master,6.0,1
64.0,53109.33,High School,25.0,0
61.0,70386.39,High School,30.0,1
,55151.32,Master,0.0,0
54.0,,High School,4.0,0
24.0,32803.75,High School,5.0,0
38.0,43728.54,Bachelor,5.0,0
,71533.67,Master,,1
56.0,,Bachelor,33.0,1
35.0,91021.59,PhD,11.0,0
21.0,56047.18,Bachelor,1.0,0
,44268.6,High School,8.0,0
31.0,79783.77,PhD,11.0,1
26.0,41647.72,Bachelor,3.0,0
43.0,43242.24,High School,11.0,0
19.0,45833.48,Bachelor,0.0,0
37.0,51863.48,Bachelor,,1
45.0,54540.7,High School,26.0,1
64.0,60072.8,High School,16.0,0
24.0,44457.49,Bachelor,4.0,0
61.0,78075.14,Master,12.0,1
25.0,54133.32,Bachelor,1.0,0
64.0,86307.93,PhD,14.0,1
52.0,,,14.0,0
31.0,34903.58,High School,,0
34.0,22767.2,High School,1.0,1
53.0,52902.56,,22.0,0
57.0,53618.04,High School,12.0,0
21.0,63035.01,Master,2.0,0
19.0,61922.74,,1.0,1
23.0,87005.34,PhD,5.0,1
59.0,53879.58,High School,24.0,0
21.0,55627.35,Master,2.0,0
46.0,65594.85,,17.0,1
35.0,43414.82,High School,,0
43.0,65922.8,Master,9.0,1
61.0,51330.76,Bachelor,11.0,0
51.0,,High School,12.0,0
27.0,51566.25,Bachelor,8.0,0
53.0,29198.16,High School,5.0,0
31.0,63691.61,Bachelor,10.0,1
48.0,62771.18,Bachelor,18.0,1
65.0,127463.58,PhD,,1
32.0,55133.08,High School,9.0,0
25.0,58695.94,Bachelor,6.0,0
31.0,71965.75,Bachelor,12.0,1
40.0,77668.75,Bachelor,22.0,1
57.0,,Bachelor,,1
38.0,43812.51,Bachelor,4.0,1
33.0,57460.27,Master,1.0,1
62.0,74635.18,Master,15.0,1
35.0,84156.95,Master,12.0,1
64.0,103529.69,Master,40.0,1
41.0,54288.19,Bachelor,14.0,1
43.0,65776.57,Master,,1
42.0,51954.33,Bachelor,7.0,1
62.0,43994.05,Bachelor,4.0,0
58.0,60146.49,Bachelor,16.0,1
46.0,83237.58,Bachelor,21.0,1
32.0,39017.11,High School,6.0,0
62.0,119337.77,PhD,40.0,1
18.0,,Bachelor,0.0,0
42.0,69359.46,High School,15.0,1
24.0,62475.95,Bachelor,1.0,0
26.0,36729.4,High School,1.0,0
41.0,37686.01,,9.0,0
18.0,23994.57,High School,,0
61.0,39129.94,Bachelor,0.0,0
25.0,46619.21,Bachelor,4.0,0
41.0,75912.8,Master,17.0,0
28.0,45514.16,Bachelor,2.0,0
34.0,44013.11,Bachelor,1.0,0
25.0,40860.97,Bachelor,2.0,0
52.0,42173.48,Bachelor,3.0,0
52.0,58787.36,Master,2.0,1
50.0,38453.41,High School,9.0,0
22.0,45344.19,High School,3.0,0
59.0,99796.24,Master,33.0,1
56.0,90518.48,Bachelor,,1
58.0,52096.78,High School,18.0,0
45.0,49112.33,High School,9.0,0
24.0,,Master,3.0,1
26.0,58764.02,Master,3.0,1
25.0,64770.54,Bachelor,,0
29.0,49150.51,Bachelor,10.0,0
51.0,43841.5,Bachelor,2.0,1
50.0,,PhD,22.0,1
65.0,97590.79,,16.0,1
40.0,43376.26,High School,6.0,0
41.0,64493.42,Master,10.0,1
54.0,57997.51,High School,17.0,0
52.0,36684.81,High School,5.0,0
61.0,85857.42,Bachelor,30.0,1
57.0,88010.33,Bachelor,28.0,1
39.0,73265.65,Master,8.0,1
44.0,47244.2,High School,21.0,0
52.0,81728.99,Bachelor,34.0,1
18.0,52341.34,Master,0.0,0
52.0,,Master,,1
54.0,36142.81,High School,11.0,0
64.0,83324.22,,35.0,1
31.0,66873.5,Bachelor,3.0,1
20.0,28019.93,High School,0.0,0
18.0,75745.67,PhD,0.0,1
22.0,56504.88,Master,1.0,0
43.0,56945.94,High School,25.0,1
31.0,44246.29,,13.0,0
56.0,60244.08,High School,28.0,1
44.0,69636.39,Master,6.0,1
26.0,32032.62,High School,6.0,1
32.0,44366.13,Bachelor,6.0,1
,,Bachelor,11.0,0
43.0,70715.24,Bachelor,17.0,1
59.0,68475.45,High School,40.0,1
30.0,32849.43,High School,5.0,0
49.0,,Master,17.0,1
56.0,81967.79,Master,16.0,1
49.0,70210.31,Master,10.0,1
21.0,28370.73,High School,0.0,0
47.0,63128.63,Bachelor,16.0,0
54.0,85701.69,Bachelor,35.0,1
40.0,25759.79,High School,3.0,0
56.0,65161.34,Master,8.0,1
62.0,91652.04,,,1
32.0,37695.52,High School,11.0,0
60.0,91198.06,Master,27.0,1
46.0,98384.69,PhD,15.0,1
53.0,73409.34,High School,32.0,1
30.0,47370.01,Bachelor,2.0,0
49.0,62436.97,Bachelor,,1
24.0,44562.6,Bachelor,1.0,0
39.0,39694.18,High School,5.0,0
45.0,70672.01,Bachelor,26.0,1
19.0,74295.39,PhD,1.0,1
59.0,46266.33,Bachelor,5.0,0
62.0,58013.26,High School,28.0,0
23.0,47524.29,Bachelor,4.0,0
45.0,54062.51,Bachelor,11.0,1
45.0,69737.14,Master,8.0,1
61.0,88933.8,Bachelor,40.0,1
61.0,48783.76,High School,18.0,0
37.0,41356.91,,16.0,0
,89338.73,Master,21.0,1
28.0,36724.91,High School,2.0,0
45.0,,Master,13.0,1
42.0,43361.19,High School,16.0,0
56.0,62149.72,Bachelor,15.0,1
50.0,64428.4,Bachelor,,1
18.0,59899.55,,0.0,0
44.0,83660.96,Master,11.0,1
30.0,37216.65,High School,11.0,0
58.0,77513.76,Bachelor,23.0,1
20.0,24624.96,High School,1.0,0
56.0,79077.25,Bachelor,33.0,1
23.0,47806.09,,3.0,0
25.0,67136.42,Master,4.0,1
44.0,88044.3,Master,15.0,1
26.0,68166.28,Bachelor,7.0,0
54.0,73789.76,Bachelor,27.0,1
,76029.85,Master,15.0,1
59.0,71083.19,Master,9.0,1
61.0,44561.18,High School,14.0,0
,44935.42,,3.0,0
32.0,50940.7,Bachelor,9.0,0
49.0,68456.22,,30.0,1
49.0,56949.49,High School,14.0,0
41.0,25503.28,High School,3.0,0
58.0,78953.04,Bachelor,31.0,1
29.0,33950.48,High School,10.0,0
56.0,76335.6,High School,37.0,1
19.0,25586.41,High School,1.0,0
20.0,68301.0,Master,0.0,1
54.0,66767.37,Master,8.0,1
,,Bachelor,2.0,0
19.0,38938.71,Bachelor,0.0,0
19.0,75128.45,PhD,1.0,1
45.0,33654.24,High School,,0
40.0,47561.57,High School,14.0,0
54.0,34450.74,High School,8.0,0
49.0,38430.03,High School,1.0,0
50.0,,Bachelor,2.0,0
18.0,69499.27,Master,0.0,0
36.0,50404.99,Bachelor,11.0,1
19.0,45185.03,Bachelor,1.0,0
61.0,61758.08,Master,4.0,0
43.0,55932.95,,9.0,0
49.0,65056.6,High School,27.0,1
23.0,48856.34,Bachelor,5.0,0
49.0,62716.3,Bachelor,13.0,0
21.0,28095.17,High School,2.0,0
28.0,54471.78,Bachelor,,0
34.0,78046.85,Bachelor,7.0,1
55.0,59297.87,Bachelor,16.0,1
41.0,63074.51,Bachelor,16.0,1
22.0,41643.49,Bachelor,2.0,0
51.0,23636.25,High School,0.0,0
23.0,50021.96,Bachelor,0.0,0
39.0,40903.59,High School,15.0,0
28.0,60948.0,Master,0.0,1
65.0,78188.34,Bachelor,24.0,1
33.0,42088.3,Bachelor,1.0,0
50.0,97840.27,Master,24.0,1
26.0,60118.79,Bachelor,6.0,0
23.0,40862.48,Bachelor,0.0,0
33.0,54891.9,Master,2.0,1
46.0,61560.09,,0.0,1
20.0,42673.76,Bachelor,0.0,0
,,High School,9.0,0
53.0,52471.75,Bachelor,5.0,0
36.0,59272.11,Master,6.0,1
43.0,54400.39,High School,24.0,1
20.0,44623.49,High School,1.0,0
36.0,64283.53,Master,4.0,1
37.0,33227.21,High School,,0
49.0,79295.46,Master,17.0,1
,53976.35,,6.0,0
58.0,83864.77,Bachelor,26.0,1
